"id_int,pclass_int,name_str,sex_str,age_int,sibsp_int,parch_int,ticket_str,fare_float,cabin_str,embarked_str,boat_str,body_int,home.dest_str,survived_int",
"50,1,Cardeza. Mr. Thomas Drake Martinez,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,3,?,Austria-Hungary / Germantown. Philadelphia. PA,1",
"51,1,Cardeza. Mrs. James Warburton Martinez (Charlotte Wardle Drake),female,58,0,1,PC 17755,512.3292,B51 B53 B55,C,3,?,Germantown. Philadelphia. PA,1",
"52,1,Carlsson. Mr. Frans Olof,male,33,0,0,695,5,B51 B53 B55,S,?,?,New York. NY,0",
"53,1,Carrau. Mr. Francisco M,male,28,0,0,113059,47.1,?,S,?,?,Montevideo. Uruguay,0",
"54,1,Carrau. Mr. Jose Pedro,male,17,0,0,113059,47.1,?,S,?,?,Montevideo. Uruguay,0",
"55,1,Carter. Master. William Thornton II,male,11,1,2,113760,120,B96 B98,S,4,?,Bryn Mawr. PA,1",
"56,1,Carter. Miss. Lucile Polk,female,14,1,2,113760,120,B96 B98,S,4,?,Bryn Mawr. PA,1",
"57,1,Carter. Mr. William Ernest,male,36,1,2,113760,120,B96 B98,S,C,?,Bryn Mawr. PA,1",
"58,1,Carter. Mrs. William Ernest (Lucile Polk),female,36,1,2,113760,120,B96 B98,S,4,?,Bryn Mawr. PA,1",
"59,1,Case. Mr. Howard Brown,male,49,0,0,19924,26,?,S,?,?,Ascot. Berkshire / Rochester. NY,0",
"60,1,Cassebeer. Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),female,?,0,0,17770,27.7208,?,C,5,?,New York. NY,1",
"61,1,Cavendish. Mr. Tyrell William,male,36,1,0,19877,78.85,C46,S,?,172,Little Onn Hall. Staffs,0",
"62,1,Cavendish. Mrs. Tyrell William (Julia Florence Siegel),female,76,1,0,19877,78.85,C46,S,6,?,Little Onn Hall. Staffs,1",
"63,1,Chaffee. Mr. Herbert Fuller,male,46,1,0,W.E.P. 5734,61.175,E31,S,?,?,Amenia. ND,0",
"64,1,Chaffee. Mrs. Herbert Fuller (Carrie Constance Toogood),female,47,1,0,W.E.P. 5734,61.175,E31,S,4,?,Amenia. ND,1",
"65,1,Chambers. Mr. Norman Campbell,male,27,1,0,113806,53.1,E8,S,5,?,New York. NY / Ithaca. NY,1",
"66,1,Chambers. Mrs. Norman Campbell (Bertha Griggs),female,33,1,0,113806,53.1,E8,S,5,?,New York. NY / Ithaca. NY,1",
"67,1,Chaudanson. Miss. Victorine,female,36,0,0,PC 17608,262.375,B61,C,4,?,?,1",
"68,1,Cherry. Miss. Gladys,female,30,0,0,110152,86.5,B77,S,8,?,London. England,1",
"69,1,Chevre. Mr. Paul Romaine,male,45,0,0,PC 17594,29.7,A9,C,7,?,Paris. France,1",
"70,1,Chibnall. Mrs. (Edith Martha Bowerman),female,?,0,1,113505,55,E33,S,6,?,St Leonards-on-Sea. England Ohio,1",
"71,1,Chisholm. Mr. Roderick Robert Crispin,male,?,0,0,112051,0,?,S,?,?,Liverpool. England / Belfast,0",
"72,1,Clark. Mr. Walter Miller,male,27,1,0,13508,136.7792,C89,C,?,?,Los Angeles. CA,0",
"73,1,Clark. Mrs. Walter Miller (Virginia McDowell),female,26,1,0,13508,136.7792,C89,C,4,?,Los Angeles. CA,1",
"74,1,Cleaver. Miss. Alice,female,22,0,0,113781,151.55,?,S,11,?,?,1",
"75,1,Clifford. Mr. George Quincy,male,?,0,0,110465,52,A14,S,?,?,Stoughton. MA,0",
"76,1,Colley. Mr. Edward Pomeroy,male,47,0,0,5727,25.5875,E58,S,?,?,Victoria. BC,0",
"77,1,Compton. Miss. Sara Rebecca,female,39,1,1,PC 17756,83.1583,E49,C,14,?,Lakewood. NJ,1",
"78,1,Compton. Mr. Alexander Taylor Jr,male,37,1,1,PC 17756,83.1583,E52,C,?,?,Lakewood. NJ,0",
"79,1,Compton. Mrs. Alexander Taylor (Mary Eliza Ingersoll),female,64,0,2,PC 17756,83.1583,E45,C,14,?,Lakewood. NJ,1",
"80,1,Cornell. Mrs. Robert Clifford (Malvina Helen Lamson),female,55,2,0,11770,25.7,C101,S,2,?,New York. NY,1",
"81,1,Crafton. Mr. John Bertram,male,?,0,0,113791,26.55,?,S,?,?,Roachdale. IN,0",
"82,1,Crosby. Capt. Edward Gifford,male,70,1,1,WE/P 5735,71,B22,S,?,269,Milwaukee. WI,0",
"83,1,Crosby. Miss. Harriet R,female,36,0,2,WE/P 5735,71,B22,S,7,?,Milwaukee. WI,1",
"84,1,Crosby. Mrs. Edward Gifford (Catherine Elizabeth Halstead),female,64,1,1,112901,26.55,B26,S,7,?,Milwaukee. WI,1",
"85,1,Cumings. Mr. John Bradley,male,39,1,0,PC 17599,71.2833,C85,C,?,?,New York. NY,0",
"86,1,Cumings. Mrs. John Bradley (Florence Briggs Thayer),female,38,1,0,PC 17599,71.2833,C85,C,4,?,New York. NY,1",
"87,1,Daly. Mr. Peter Denis,male,51,0,0,113055,26.55,E17,S,5 9,?,Lima. Peru,1",
"88,1,Daniel. Mr. Robert Williams,male,27,0,0,113804,30.5,?,S,3,?,Philadelphia. PA,1",
"89,1,Daniels. Miss. Sarah,female,33,0,0,113781,151.55,?,S,8,?,?,1",
"90,1,Davidson. Mr. Thornton,male,31,1,0,F.C. 12750,52,B71,S,?,?,Montreal. PQ,0",
"91,1,Davidson. Mrs. Thornton (Orian Hays),female,27,1,2,F.C. 12750,52,B71,S,3,?,Montreal. PQ,1",
"92,1,Dick. Mr. Albert Adrian,male,31,1,0,17474,57,B20,S,3,?,Calgary. AB,1",
"93,1,Dick. Mrs. Albert Adrian (Vera Gillespie),female,17,1,0,17474,57,B20,S,3,?,Calgary. AB,1",
"94,1,Dodge. Dr. Washington,male,53,1,1,33638,81.8583,A34,S,13,?,San Francisco. CA,1",
"95,1,Dodge. Master. Washington,male,4,0,2,33638,81.8583,A34,S,5,?,San Francisco. CA,1",
"96,1,Dodge. Mrs. Washington (Ruth Vidaver),female,54,1,1,33638,81.8583,A34,S,5,?,San Francisco. CA,1",
"97,1,Douglas. Mr. Walter Donald,male,50,1,0,PC 17761,106.425,C86,C,?,62,Deephaven. MN / Cedar Rapids. IA,0",
"98,1,Douglas. Mrs. Frederick Charles (Mary Helene Baxter),female,27,1,1,PC 17558,247.5208,B58 B60,C,6,?,Montreal. PQ,1",
"99,1,Douglas. Mrs. Walter Donald (Mahala Dutton),female,48,1,0,PC 17761,106.425,C86,C,2,?,Deephaven. MN / Cedar Rapids. IA,1",
"100,1,Duff Gordon. Lady. (Lucille Christiana Sutherland) ('Mrs Morgan'),female,48,1,0,11755,39.6,A16,C,1,?,London / Paris,1",
"101,1,Duff Gordon. Sir. Cosmo Edmund ('Mr Morgan'),male,49,1,0,PC 17485,56.9292,A20,C,1,?,London / Paris,1",
"102,1,Dulles. Mr. William Crothers,male,39,0,0,PC 17580,29.7,A18,C,?,133,Philadelphia. PA,0",
"103,1,Earnshaw. Mrs. Boulton (Olive Potter),female,23,0,1,11767,83.1583,C54,C,7,?,Mt Airy. Philadelphia. PA,1",
"104,1,Endres. Miss. Caroline Louise,female,38,0,0,PC 17757,227.525,C45,C,4,?,New York. NY,1",
"105,1,Eustis. Miss. Elizabeth Mussey,female,54,1,0,36947,78.2667,D20,C,4,?,Brookline. MA,1",
"106,1,Evans. Miss. Edith Corse,female,36,0,0,PC 17531,31.6792,A29,C,?,?,New York. NY,0",
"107,1,Farthing. Mr. John,male,?,0,0,PC 17483,221.7792,C95,S,?,?,?,0",
"108,1,Flegenheim. Mrs. Alfred (Antoinette),female,?,0,0,PC 17598,31.6833,?,S,7,?,New York. NY,1",
"109,1,Fleming. Miss. Margaret,female,?,0,0,17421,110.8833,?,C,4,?,?,1",
"110,1,Flynn. Mr. John Irwin ('Irving'),male,36,0,0,PC 17474,26.3875,E25,S,5,?,Brooklyn. NY,1",
"111,1,Foreman. Mr. Benjamin Laventall,male,30,0,0,113051,27.75,C111,C,?,?,New York. NY,0",
"112,1,Fortune. Miss. Alice Elizabeth,female,24,3,2,19950,263,C23 C25 C27,S,10,?,Winnipeg. MB,1",
"113,1,Fortune. Miss. Ethel Flora,female,28,3,2,19950,263,C23 C25 C27,S,10,?,Winnipeg. MB,1",
"114,1,Fortune. Miss. Mabel Helen,female,23,3,2,19950,263,C23 C25 C27,S,10,?,Winnipeg. MB,1",
"115,1,Fortune. Mr. Charles Alexander,male,19,3,2,19950,263,C23 C25 C27,S,?,?,Winnipeg. MB,0",
"116,1,Fortune. Mr. Mark,male,64,1,4,19950,263,C23 C25 C27,S,?,?,Winnipeg. MB,0",
"117,1,Fortune. Mrs. Mark (Mary McDougald),female,60,1,4,19950,263,C23 C25 C27,S,10,?,Winnipeg. MB,1",
"118,1,Francatelli. Miss. Laura Mabel,female,30,0,0,PC 17485,56.9292,E36,C,1,?,?,1",
"119,1,Franklin. Mr. Thomas Parham,male,?,0,0,113778,26.55,D34,S,?,?,Westcliff-on-Sea. Essex,0",
"120,1,Frauenthal. Dr. Henry William,male,50,2,0,PC 17611,133.65,?,S,5,?,New York. NY,1",
"121,1,Frauenthal. Mr. Isaac Gerald,male,43,1,0,17765,27.7208,D40,C,5,?,New York. NY,1",
"122,1,Frauenthal. Mrs. Henry William (Clara Heinsheimer),female,?,1,0,PC 17611,133.65,?,S,5,?,New York. NY,1",
"123,1,Frolicher. Miss. Hedwig Margaritha,female,22,0,2,13568,49.5,B39,C,5,?,Zurich. Switzerland,1",
"124,1,Frolicher-Stehli. Mr. Maxmillian,male,60,1,1,13567,79.2,B41,C,5,?,Zurich. Switzerland,1",
"125,1,Frolicher-Stehli. Mrs. Maxmillian (Margaretha Emerentia Stehli),female,48,1,1,13567,79.2,B41,C,5,?,Zurich. Switzerland,1",
"126,1,Fry. Mr. Richard,male,?,0,0,112058,0,B102,S,?,?,?,0",
"127,1,Futrelle. Mr. Jacques Heath,male,37,1,0,113803,53.1,C123,S,?,?,Scituate. MA,0",
"128,1,Futrelle. Mrs. Jacques Heath (Lily May Peel),female,35,1,0,113803,53.1,C123,S,D,?,Scituate. MA,1",
"129,1,Gee. Mr. Arthur H,male,47,0,0,111320,38.5,E63,S,?,275,St Anne's-on-Sea. Lancashire,0",
"130,1,Geiger. Miss. Amalie,female,35,0,0,113503,211.5,C130,C,4,?,?,1",
"131,1,Gibson. Miss. Dorothy Winifred,female,22,0,1,112378,59.4,?,C,7,?,New York. NY,1",
"132,1,Gibson. Mrs. Leonard (Pauline C Boeson),female,45,0,1,112378,59.4,?,C,7,?,New York. NY,1",
"133,1,Giglio. Mr. Victor,male,24,0,0,PC 17593,79.2,B86,C,?,?,?,0",
"134,1,Goldenberg. Mr. Samuel L,male,49,1,0,17453,89.1042,C92,C,5,?,Paris. France / New York. NY,1",
"135,1,Goldenberg. Mrs. Samuel L (Edwiga Grabowska),female,?,1,0,17453,89.1042,C92,C,5,?,Paris. France / New York. NY,1",
"136,1,Goldschmidt. Mr. George B,male,71,0,0,PC 17754,34.6542,A5,C,?,?,New York. NY,0",
"137,1,Gracie. Col. Archibald IV,male,53,0,0,113780,28.5,C51,C,B,?,Washington. DC,1",
"138,1,Graham. Miss. Margaret Edith,female,19,0,0,112053,30,B42,S,3,?,Greenwich. CT,1",
"139,1,Graham. Mr. George Edward,male,38,0,1,PC 17582,153.4625,C91,S,?,147,Winnipeg. MB,0",
"140,1,Graham. Mrs. William Thompson (Edith Junkins),female,58,0,1,PC 17582,153.4625,C125,S,3,?,Greenwich. CT,1",
"141,1,Greenfield. Mr. William Bertram,male,23,0,1,PC 17759,63.3583,D10 D12,C,7,?,New York. NY,1",
"142,1,Greenfield. Mrs. Leo David (Blanche Strouse),female,45,0,1,PC 17759,63.3583,D10 D12,C,7,?,New York. NY,1",
"143,1,Guggenheim. Mr. Benjamin,male,46,0,0,PC 17593,79.2,B82 B84,C,?,?,New York. NY,0",
"144,1,Harder. Mr. George Achilles,male,25,1,0,11765,55.4417,E50,C,5,?,Brooklyn. NY,1",
"145,1,Harder. Mrs. George Achilles (Dorothy Annan),female,25,1,0,11765,55.4417,E50,C,5,?,Brooklyn. NY,1",
"146,1,Harper. Mr. Henry Sleeper,male,48,1,0,PC 17572,76.7292,D33,C,3,?,New York. NY,1",
"147,1,Harper. Mrs. Henry Sleeper (Myna Haxtun),female,49,1,0,PC 17572,76.7292,D33,C,3,?,New York. NY,1",
"148,1,Harrington. Mr. Charles H,male,?,0,0,113796,42.4,?,S,?,?,?,0",
"149,1,Harris. Mr. Henry Birkhardt,male,45,1,0,36973,83.475,C83,S,?,?,New York. NY,0",
"150,1,Harris. Mrs. Henry Birkhardt (Irene Wallach),female,35,1,0,36973,83.475,C83,S,D,?,New York. NY,1",
"151,1,Harrison. Mr. William,male,40,0,0,112059,0,B94,S,?,110,?,0",
"152,1,Hassab. Mr. Hammad,male,27,0,0,PC 17572,76.7292,D49,C,3,?,?,1",
"153,1,Hawksford. Mr. Walter James,male,?,0,0,16988,30,D45,S,3,?,Kingston. Surrey,1",
"154,1,Hays. Miss. Margaret Bechstein,female,24,0,0,11767,83.1583,C54,C,7,?,New York. NY,1",
"155,1,Hays. Mr. Charles Melville,male,55,1,1,12749,93.5,B69,S,?,307,Montreal. PQ,0",
"156,1,Hays. Mrs. Charles Melville (Clara Jennings Gregg),female,52,1,1,12749,93.5,B69,S,3,?,Montreal. PQ,1",
"157,1,Head. Mr. Christopher,male,42,0,0,113038,42.5,B11,S,?,?,London / Middlesex,0",
"158,1,Hilliard. Mr. Herbert Henry,male,?,0,0,17463,51.8625,E46,S,?,?,Brighton. MA,0",
"159,1,Hipkins. Mr. William Edward,male,55,0,0,680,50,C39,S,?,?,London / Birmingham,0",
"160,1,Hippach. Miss. Jean Gertrude,female,16,0,1,111361,57.9792,B18,C,4,?,Chicago. IL,1",
"161,1,Hippach. Mrs. Louis Albert (Ida Sophia Fischer),female,44,0,1,111361,57.9792,B18,C,4,?,Chicago. IL,1",
"162,1,Hogeboom. Mrs. John C (Anna Andrews),female,51,1,0,13502,77.9583,D11,S,10,?,Hudson. NY,1",
"163,1,Holverson. Mr. Alexander Oskar,male,42,1,0,113789,52,?,S,?,38,New York. NY,0",
"164,1,Holverson. Mrs. Alexander Oskar (Mary Aline Towner),female,35,1,0,113789,52,?,S,8,?,New York. NY,1",
"165,1,Homer. Mr. Harry ('Mr E Haven'),male,35,0,0,111426,26.55,?,C,15,?,Indianapolis. IN,1",
"166,1,Hoyt. Mr. Frederick Maxfield,male,38,1,0,19943,90,C93,S,D,?,New York. NY /  Stamford CT,1",
"167,1,Hoyt. Mr. William Fisher,male,?,0,0,PC 17600,30.6958,?,C,14,?,New York. NY,0",
"168,1,Hoyt. Mrs. Frederick Maxfield (Jane Anne Forby),female,35,1,0,19943,90,C93,S,D,?,New York. NY /  Stamford CT,1",
"169,1,Icard. Miss. Amelie,female,38,0,0,113572,80,B28,?,6,?,?,1",
"170,1,Isham. Miss. Ann Elizabeth,female,50,0,0,PC 17595,28.7125,C49,C,?,?,Paris. France New York. NY,0",
"171,1,Ismay. Mr. Joseph Bruce,male,49,0,0,112058,0,B52 B54 B56,S,C,?,Liverpool,1",
"172,1,Jones. Mr. Charles Cresson,male,46,0,0,694,26,?,S,?,80,Bennington. VT,0",
"173,1,Julian. Mr. Henry Forbes,male,50,0,0,113044,26,E60,S,?,?,London,0",
"174,1,Keeping. Mr. Edwin,male,32.5,0,0,113503,211.5,C132,C,?,45,?,0",
"175,1,Kent. Mr. Edward Austin,male,58,0,0,11771,29.7,B37,C,?,258,Buffalo. NY,0",
"176,1,Kenyon. Mr. Frederick R,male,41,1,0,17464,51.8625,D21,S,?,?,Southington / Noank. CT,0",
"177,1,Kenyon. Mrs. Frederick R (Marion),female,?,1,0,17464,51.8625,D21,S,8,?,Southington / Noank. CT,1",
"178,1,Kimball. Mr. Edwin Nelson Jr,male,42,1,0,11753,52.5542,D19,S,5,?,Boston. MA,1",
"179,1,Kimball. Mrs. Edwin Nelson Jr (Gertrude Parsons),female,45,1,0,11753,52.5542,D19,S,5,?,Boston. MA,1",
"180,1,Klaber. Mr. Herman,male,?,0,0,113028,26.55,C124,S,?,?,Portland. OR,0",
"181,1,Kreuchen. Miss. Emilie,female,39,0,0,24160,211.3375,?,S,2,?,?,1",
"182,1,Leader. Dr. Alice (Farnham),female,49,0,0,17465,25.9292,D17,S,8,?,New York. NY,1",
"183,1,LeRoy. Miss. Bertha,female,30,0,0,PC 17761,106.425,?,C,2,?,?,1",
"184,1,Lesurer. Mr. Gustave J,male,35,0,0,PC 17755,512.3292,B101,C,3,?,?,1",
"185,1,Lewy. Mr. Ervin G,male,?,0,0,PC 17612,27.7208,?,C,?,?,Chicago. IL,0",
"186,1,Lindeberg-Lind. Mr. Erik Gustaf ('Mr Edward Lingrey'),male,42,0,0,17475,26.55,?,S,?,?,Stockholm. Sweden,0",
"187,1,Lindstrom. Mrs. Carl Johan (Sigrid Posse),female,55,0,0,112377,27.7208,?,C,6,?,Stockholm. Sweden,1",
"188,1,Lines. Miss. Mary Conover,female,16,0,1,PC 17592,39.4,D28,S,9,?,Paris. France,1",
"189,1,Lines. Mrs. Ernest H (Elizabeth Lindsey James),female,51,0,1,PC 17592,39.4,D28,S,9,?,Paris. France,1",
"190,1,Long. Mr. Milton Clyde,male,29,0,0,113501,30,D6,S,?,126,Springfield. MA,0",
"191,1,Longley. Miss. Gretchen Fiske,female,21,0,0,13502,77.9583,D9,S,10,?,Hudson. NY,1",
"192,1,Loring. Mr. Joseph Holland,male,30,0,0,113801,45.5,?,S,?,?,London / New York. NY,0",
"193,1,Lurette. Miss. Elise,female,58,0,0,PC 17569,146.5208,B80,C,?,?,?,1",
"194,1,Madill. Miss. Georgette Alexandra,female,15,0,1,24160,211.3375,B5,S,2,?,St Louis. MO,1",
"195,1,Maguire. Mr. John Edward,male,30,0,0,110469,26,C106,S,?,?,Brockton. MA,0",
"196,1,Maioni. Miss. Roberta,female,16,0,0,110152,86.5,B79,S,8,?,?,1",
"197,1,Marechal. Mr. Pierre,male,?,0,0,11774,29.7,C47,C,7,?,Paris. France,1",
"198,1,Marvin. Mr. Daniel Warner,male,19,1,0,113773,53.1,D30,S,?,?,New York. NY,0",
"199,1,Marvin. Mrs. Daniel Warner (Mary Graham Carmichael Farquarson),female,18,1,0,113773,53.1,D30,S,10,?,New York. NY,1",
"200,1,Mayne. Mlle. Berthe Antonine ('Mrs de Villiers'),female,24,0,0,PC 17482,49.5042,C90,C,6,?,Belgium  Montreal. PQ,1",
"201,1,McCaffry. Mr. Thomas Francis,male,46,0,0,13050,75.2417,C6,C,?,292,Vancouver. BC,0",
"202,1,McCarthy. Mr. Timothy J,male,54,0,0,17463,51.8625,E46,S,?,175,Dorchester. MA,0",
"203,1,McGough. Mr. James Robert,male,36,0,0,PC 17473,26.2875,E25,S,7,?,Philadelphia. PA,1",
"204,1,Meyer. Mr. Edgar Joseph,male,28,1,0,PC 17604,82.1708,?,C,?,?,New York. NY,0",
"205,1,Meyer. Mrs. Edgar Joseph (Leila Saks),female,?,1,0,PC 17604,82.1708,?,C,6,?,New York. NY,1",
"206,1,Millet. Mr. Francis Davis,male,65,0,0,13509,26.55,E38,S,?,249,East Bridgewater. MA,0",
"207,1,Minahan. Dr. William Edward,male,44,2,0,19928,90,C78,Q,?,230,Fond du Lac. WI,0",
"208,1,Minahan. Miss. Daisy E,female,33,1,0,19928,90,C78,Q,14,?,Green Bay. WI,1",
"209,1,Minahan. Mrs. William Edward (Lillian E Thorpe),female,37,1,0,19928,90,C78,Q,14,?,Fond du Lac. WI,1",
"210,1,Mock. Mr. Philipp Edmund,male,30,1,0,13236,57.75,C78,C,11,?,New York. NY,1",
"211,1,Molson. Mr. Harry Markland,male,55,0,0,113787,30.5,C30,S,?,?,Montreal. PQ,0",
"212,1,Moore. Mr. Clarence Bloomfield,male,47,0,0,113796,42.4,?,S,?,?,Washington. DC,0",
"213,1,Natsch. Mr. Charles H,male,37,0,1,PC 17596,29.7,C118,C,?,?,Brooklyn. NY,0",
"214,1,Newell. Miss. Madeleine,female,31,1,0,35273,113.275,D36,C,6,?,Lexington. MA,1",
"215,1,Newell. Miss. Marjorie,female,23,1,0,35273,113.275,D36,C,6,?,Lexington. MA,1",
"216,1,Newell. Mr. Arthur Webster,male,58,0,2,35273,113.275,D48,C,?,122,Lexington. MA,0",
"217,1,Newsom. Miss. Helen Monypeny,female,19,0,2,11752,26.2833,D47,S,5,?,New York. NY,1",
"218,1,Nicholson. Mr. Arthur Ernest,male,64,0,0,693,26,?,S,?,263,Isle of Wight. England,0",
"219,1,Oliva y Ocana. Dona. Fermina,female,39,0,0,PC 17758,108.9,C105,C,8,?,?,1",
"220,1,Omont. Mr. Alfred Fernand,male,?,0,0,F.C. 12998,25.7417,?,C,7,?,Paris. France,1",
"221,1,Ostby. Miss. Helene Ragnhild,female,22,0,1,113509,61.9792,B36,C,5,?,Providence. RI,1",
"222,1,Ostby. Mr. Engelhart Cornelius,male,65,0,1,113509,61.9792,B30,C,?,234,Providence. RI,0",
"223,1,Ovies y Rodriguez. Mr. Servando,male,28.5,0,0,PC 17562,27.7208,D43,C,?,189,?Havana. Cuba,0",
"224,1,Parr. Mr. William Henry Marsh,male,?,0,0,112052,0,?,S,?,?,Belfast,0",
"225,1,Partner. Mr. Austen,male,45.5,0,0,113043,28.5,C124,S,?,166,Surbiton Hill. Surrey,0",
"226,1,Payne. Mr. Vivian Ponsonby,male,23,0,0,12749,93.5,B24,S,?,?,Montreal. PQ,0",
"227,1,Pears. Mr. Thomas Clinton,male,29,1,0,113776,66.6,C2,S,?,?,Isleworth. England,0",
